Unnamed: 0,PROVISIONAL,BUQUE,IMO,FECHA_ETA,HORA_ETA,FECHA_ETD,HORA_ETD,TXTNUMIMO,TXTESLORA,TXTMANGA,TXTVELMAX,TXTCALADO
512,anon_provisional_631,anon_buque_632,anon_imo_178,08/18/2021 00:00:00,01/01/1900 15:00:00,08/21/2021 00:00:00,01/01/1900 08:00:00,anon_imo_178,28.0,6.49,,
513,anon_provisional_631,anon_buque_632,anon_imo_178,08/18/2021 00:00:00,01/01/1900 15:00:00,08/21/2021 00:00:00,01/01/1900 08:00:00,anon_imo_178,19.0,6.0,,2.0
514,anon_provisional_633,anon_buque_634,anon_imo_178,09/22/2021 00:00:00,01/01/1900 15:00:00,10/03/2021 00:00:00,01/01/1900 12:00:00,anon_imo_178,23.89,6.6,10.0,3.3
515,anon_provisional_633,anon_buque_634,anon_imo_178,09/22/2021 00:00:00,01/01/1900 15:00:00,10/03/2021 00:00:00,01/01/1900 12:00:00,anon_imo_178,30.0,14.3,,
516,anon_provisional_633,anon_buque_634,anon_imo_178,09/22/2021 00:00:00,01/01/1900 15:00:00,10/03/2021 00:00:00,01/01/1900 12:00:00,anon_imo_178,28.06,6.7,,
517,anon_provisional_633,anon_buque_634,anon_imo_178,09/22/2021 00:00:00,01/01/1900 15:00:00,10/03/2021 00:00:00,01/01/1900 12:00:00,anon_imo_178,32.22,14.93,0.0,2.0
518,anon_provisional_633,anon_buque_634,anon_imo_178,09/22/2021 00:00:00,01/01/1900 15:00:00,10/03/2021 00:00:00,01/01/1900 12:00:00,anon_imo_178,23.5,8.54,,
519,anon_provisional_633,anon_buque_634,anon_imo_178,09/22/2021 00:00:00,01/01/1900 15:00:00,10/03/2021 00:00:00,01/01/1900 12:00:00,anon_imo_178,27.0,3.0,,
520,anon_provisional_633,anon_buque_634,anon_imo_178,09/22/2021 00:00:00,01/01/1900 15:00:00,10/03/2021 00:00:00,01/01/1900 12:00:00,anon_imo_178,30.81,7.8,,2.48
521,anon_provisional_633,anon_buque_634,anon_imo_178,09/22/2021 00:00:00,01/01/1900 15:00:00,10/03/2021 00:00:00,01/01/1900 12:00:00,anon_imo_178,34.0,7.65,,2.77
